start_label,sem_type,end_label,me,count,start_bl,type_bl,end_bl,comment_1,comment_2
Drug,INHIBITS,Protein,Drug - INHIBITS - Protein,67,Drug,decreases activity of,Protein,,
Protein,INVOLVED_IN,Biological Process,Protein - INVOLVED_IN - Biological Process,38,Protein,participates in,BiologicalProcess,,
Biological Process,CAUSES,Disease,Biological Process - CAUSES - Disease,29,BiologicalProcess,causes,Disease,contributes to,predisposes
Taxon,CAUSES,Disease,Taxon - CAUSES - Disease,26,OrganismTaxon,causes,Disease,contributes to,
Drug,ACTIVATES,Protein,Drug - ACTIVATES - Protein,24,Drug,increases activity of,Protein,,
Biological Process,REQUIRED_FOR,Taxon,Biological Process - REQUIRED_FOR - Taxon,24,BiologicalProcess,occurs in,OrganismTaxon,in taxon,
Protein,UP_REGULATES,Biological Process,Protein - UP_REGULATES - Biological Process,14,Protein,positively regulates,BiologicalProcess,,
Biological Process,ELEVATED_IN,Disease,Biological Process - ELEVATED_IN - Disease,11,BiologicalProcess,positively correlated with,Disease,disease positively regulates process,
Biological Process,DISRUPTED_IN,Disease,Biological Process - DISRUPTED_IN - Disease,11,BiologicalProcess,negatively correlated with,Disease,disease disrupts (negative regulates) process,
Protein,PRODUCES,Compound Class,Protein - PRODUCES - Compound Class,9,Protein,increases abundance of,ChemicalSubstance,,
Protein,DOWN_REGULATES,Protein,Protein - DOWN_REGULATES - Protein,9,Protein,decreases abundance of,Protein,,
Compound,PART_OF,Biological Process,Compound - PART_OF - Biological Process,8,ChemicalSubstance,participates in,BiologicalProcess,,
Protein,UP_REGULATES,Protein,Protein - UP_REGULATES - Protein,7,Protein,increases abundance of,Protein,,
Biological Process,ASSOCIATED_WITH,Disease,Biological Process - ASSOCIATED_WITH - Disease,7,BiologicalProcess,correlated with,Disease,gene associated with condition,
Protein,DOWN_REGULATES,Biological Process,Protein - DOWN_REGULATES - Biological Process,7,Protein,negatively regulates,BiologicalProcess,,
Drug,INCREASES,Compound,Drug - INCREASES - Compound,6,Drug,increases abundance of,ChemicalSubstance,,
Protein,PRODUCES,Compound,Protein - PRODUCES - Compound,5,Protein,produces,ChemicalSubstance,,
Biological Process,REDUCES,Disease,Biological Process - REDUCES - Disease,5,BiologicalProcess,prevents,Disease,,
Compound,REDUCED_IN,Disease,Compound - REDUCED_IN - Disease,4,ChemicalSubstance,prevents,Disease,opposite of contributes to (absence results in),
Protein,PART_OF,Pathway,Protein - PART_OF - Pathway,4,Protein,participates in,Pathway,,
Compound Class,CAUSES,Disease,Compound Class - CAUSES - Disease,4,ChemicalSubstance,causes,Disease,,
